n;263
m;4
tmax;297.25
-99;-97;0
-59;50;57
0;14;56
-17;-66;33
-69;-19;32
31;12;64
5;-41;44
-12;10;52
-64;70;64
-12;85;76
-18;64;68
-77;-16;32
-53;88;71
83;-24;73
24;41;69
17;21;62
42;96;89
-65;0;39
-47;-26;33
85;36;85
-35;-54;29
54;-21;64
64;-17;68
55;89;90
17;-25;51
-61;66;63
-61;26;48
17;-72;45
79;38;84
-62;-2;38
-90;-68;12
52;66;83
-54;-50;25
8;-84;41
37;-90;51
-83;49;55
35;-1;62
7;59;71
12;48;68
57;95;92
92;28;85
-3;97;81
-7;52;66
42;-15;61
77;-43;69
59;-49;62
25;91;84
69;-19;69
-82;-14;32
74;-70;66
69;59;86
29;33;68
-97;9;40
-58;9;43
28;93;85
7;73;75
-28;73;69
-76;55;58
41;42;74
92;40;88
-84;-29;26
-12;42;61
51;-45;60
-37;46;58
-97;35;50
14;89;81
60;58;83
-63;-75;16
-18;34;58
-46;-82;21
-86;-79;9
-43;-30;33
-44;7;44
-3;-20;46
36;41;72
-30;-94;26
79;-62;68
51;70;84
-61;-26;30
6;94;82
-19;-62;33
-20;51;63
-81;37;51
7;31;62
52;12;70
83;-91;68
-7;-92;35
82;-74;68
-70;85;69
-83;-30;26
71;-61;65
85;11;80
66;-48;65
78;-87;66
9;-79;41
-36;4;45
66;39;80
92;-17;77
-46;-79;21
-30;-63;29
-42;63;64
20;42;69
15;98;84
1;-17;48
64;20;75
-96;85;68
93;-29;76
-40;-84;23
86;35;85
91;36;87
62;-8;69
-24;4;47
11;96;83
-53;62;62
-28;-71;29
7;-4;53
95;-9;80
-3;17;56
53;-90;57
58;-19;66
-83;84;68
-1;49;66
-4;17;56
-82;-3;36
-43;47;58
6;-6;52
70;99;97
68;-29;68
-94;-30;25
-94;-20;29
-21;77;71
64;37;79
-70;-19;31
88;65;92
2;29;61
33;57;76
-70;6;40
-38;-56;28
-80;-95;8
-5;-39;42
8;-22;49
-61;-76;17
76;-22;71
49;-71;56
-30;-68;28
1;34;62
77;79;93
-58;64;62
82;-97;68
-80;55;57
81;-86;68
39;-49;55
-67;72;64
-25;-89;28
-44;-95;21
32;-68;50
-17;49;63
93;49;90
99;81;100
10;-49;45
63;-41;64
38;39;72
-28;39;58
-2;-47;41
38;8;65
-42;-6;40
-67;88;70
19;93;84
40;27;70
-61;56;59
43;33;72
-18;-39;38
-69;19;45
75;-18;72
31;85;84
25;58;74
-16;36;59
91;15;83
60;-39;63
49;-47;59
42;33;72
16;-81;44
-78;53;57
53;-80;57
-46;-26;33
-25;-54;32
69;-46;66
0;-78;38
-84;74;64
-16;16;53
-63;-14;34
51;-77;57
-39;61;63
5;97;82
-55;39;54
70;-14;71
0;95;81
-45;7;44
38;-24;58
50;-37;60
59;71;86
-73;-96;10
-29;72;69
-47;12;45
-88;-61;14
-88;36;50
-46;-3;41
26;-37;52
-39;-67;25
92;27;85
-80;-31;26
93;-50;74
-20;-5;46
-22;73;70
-4;-7;49
54;-48;60
-70;39;52
54;-82;58
29;41;70
-87;51;56
-96;-36;23
49;8;68
-5;54;67
-26;43;59
-11;60;67
40;61;79
82;35;84
-92;12;41
-93;-86;5
-66;63;61
-72;-87;11
-57;-84;17
23;52;72
-56;-62;21
-19;59;66
63;-14;68
-13;38;60
-19;87;75
44;-84;54
98;-17;80
-16;62;67
3;66;72
26;22;65
-38;-81;24
70;80;91
17;-35;49
96;-83;73
-77;80;67
-14;44;62
-33;33;55
33;-33;55
70;0;73
-50;60;62
-50;-60;23
75;0;75
0;75;74
-75;0;38
0;-75;38
40;80;84
40;-80;53
-60;20;46
-60;-20;33
-99;-97;0
