n;151
m;3
tmax;4420.67
1380;939;0
2848;96;63
3510;1671;83
457;334;41
3888;666;93
984;965;15
2721;1482;54
1286;525;16
2716;1432;53
738;1325;28
1251;1832;34
2728;1698;57
3815;169;94
3683;1533;88
1247;1945;38
123;862;47
1234;1946;38
252;1240;43
611;673;30
2576;1676;52
928;1700;33
53;857;49
1807;1711;33
274;1420;45
2574;946;44
178;24;56
2678;1825;58
1795;962;16
3384;1498;77
3520;1079;79
1256;61;33
1424;1728;30
3913;192;97
3085;1528;67
2573;1969;58
463;1670;44
3875;598;93
298;1513;45
3479;821;78
2542;236;50
3955;1743;100
1323;280;25
3447;1830;83
2936;337;62
1621;1830;34
3373;1646;78
1393;1368;16
3874;1318;93
938;955;17
3022;474;63
2482;1183;42
3854;923;91
376;825;38
2519;135;52
2945;1622;63
953;268;30
2628;1479;50
2097;981;27
890;1846;38
2139;1806;43
2421;1007;39
2290;1810;47
1115;1052;11
2588;302;51
327;265;46
241;341;48
1917;687;22
2991;792;60
2573;599;46
19;674;51
3911;1673;97
872;1559;30
2863;558;57
929;1766;35
839;620;24
3893;102;98
2178;1619;39
3822;899;90
378;1048;37
1178;100;32
2599;901;45
3416;143;81
2961;1605;63
611;1384;33
3113;885;64
2597;1830;56
2586;1286;47
161;906;45
1429;134;30
742;1025;24
1625;1651;28
1187;706;12
1787;1009;16
22;987;50
3640;43;90
3756;882;88
776;392;30
1724;1642;29
198;1810;54
3950;1558;98
3477;949;77
91;1732;56
3972;329;98
198;1632;51
1806;733;18
538;1023;32
3430;1088;76
2186;766;31
1513;1646;27
2143;1611;38
53;1657;56
3404;1307;76
1034;1344;20
2823;376;57
3104;1931;73
3232;324;72
2790;1457;56
374;9;51
741;146;38
3083;1938;73
3502;1067;79
1280;237;27
3326;1846;79
217;38;54
2503;1172;43
3527;41;86
739;1850;41
3548;1999;89
48;154;57
1419;872;3
1689;1223;16
3468;1404;79
1628;253;27
382;872;37
3029;1242;62
3646;1758;89
285;1029;41
1782;93;35
1067;371;24
2849;1214;55
920;1835;37
1741;712;16
876;220;33
2753;283;56
2609;1286;47
3941;258;98
3613;523;84
1754;559;20
2916;1724;64
2445;1820;51
1380;939;0
