n;201
m;4
tmax;3671
1357;1905;0
2650;802;1
1774;107;1
1307;964;1
3806;746;1
2687;1353;1
43;1957;1
3092;1668;1
185;1542;1
834;629;1
40;462;1
1183;1391;1
2048;1628;1
1097;643;1
1838;1732;1
234;1118;1
3314;1881;1
737;1285;1
779;777;1
2312;1949;1
2576;189;1
3078;1541;1
2781;478;1
705;1812;1
3409;1917;1
323;1714;1
1660;1556;1
3729;1188;1
693;1383;1
2361;640;1
2433;1538;1
554;1825;1
913;317;1
3586;1909;1
2636;727;1
1000;457;1
482;1337;1
3704;1082;1
3635;1174;1
1362;1526;1
2049;417;1
2552;1909;1
3939;640;1
219;898;1
812;351;1
901;1552;1
2513;1572;1
242;584;1
826;1226;1
3278;799;1
86;1065;1
14;454;1
1327;1893;1
2773;1286;1
2469;1838;1
3835;963;1
1031;428;1
3853;1712;1
1868;197;1
1544;863;1
457;1607;1
3174;1064;1
192;1004;1
2318;1925;1
2232;1374;1
396;828;1
2365;1649;1
2499;658;1
1410;307;1
2990;214;1
3646;1018;1
3394;1028;1
1779;90;1
1058;372;1
2933;1459;1
3099;173;1
2178;978;1
138;1610;1
2082;1753;1
2302;1127;1
805;272;1
22;1617;1
3213;1085;1
99;536;1
1533;1780;1
3564;676;1
29;6;1
3808;1375;1
2221;291;1
3499;1885;1
3124;408;1
781;671;1
1027;1041;1
3249;378;1
3297;491;1
213;220;1
721;186;1
3736;1542;1
868;731;1
960;303;1
1380;939;1
2848;96;1
3510;1671;1
457;334;1
3888;666;1
984;965;1
2721;1482;1
1286;525;1
2716;1432;1
738;1325;1
1251;1832;1
2728;1698;1
3815;169;1
3683;1533;1
1247;1945;1
123;862;1
1234;1946;1
252;1240;1
611;673;1
2576;1676;1
928;1700;1
53;857;1
1807;1711;1
274;1420;1
2574;946;1
178;24;1
2678;1825;1
1795;962;1
3384;1498;1
3520;1079;1
1256;61;1
1424;1728;1
3913;192;1
3085;1528;1
2573;1969;1
463;1670;1
3875;598;1
298;1513;1
3479;821;1
2542;236;1
3955;1743;1
1323;280;1
3447;1830;1
2936;337;1
1621;1830;1
3373;1646;1
1393;1368;1
3874;1318;1
938;955;1
3022;474;1
2482;1183;1
3854;923;1
376;825;1
2519;135;1
2945;1622;1
953;268;1
2628;1479;1
2097;981;1
890;1846;1
2139;1806;1
2421;1007;1
2290;1810;1
1115;1052;1
2588;302;1
327;265;1
241;341;1
1917;687;1
2991;792;1
2573;599;1
19;674;1
3911;1673;1
872;1559;1
2863;558;1
929;1766;1
839;620;1
3893;102;1
2178;1619;1
3822;899;1
378;1048;1
1178;100;1
2599;901;1
3416;143;1
2961;1605;1
611;1384;1
3113;885;1
2597;1830;1
2586;1286;1
161;906;1
1429;134;1
742;1025;1
1625;1651;1
1187;706;1
1787;1009;1
22;987;1
3640;43;1
3756;882;1
776;392;1
1724;1642;1
198;1810;1
3950;1558;1
1357;1905;0
