n;201
m;2
tmax;7359.5
3140;1401;0
556;1056;78
3675;1522;17
1182;1853;60
3595;111;41
962;1895;66
2030;1186;34
3507;1851;18
2642;1269;16
3438;901;18
3858;1472;22
2937;1568;8
376;1018;83
839;1355;69
706;1925;74
749;920;73
298;615;88
694;552;77
387;190;89
2801;695;24
3133;1143;8
1517;266;59
1538;224;59
844;520;73
2639;1239;16
3123;217;35
2489;1520;20
3834;1827;25
3417;1808;15
2938;543;27
71;1323;91
3245;1828;13
731;1741;72
2312;1270;25
2426;1851;25
380;478;87
2310;635;34
2830;775;21
3829;513;34
3684;445;33
171;514;92
627;1261;75
1490;1123;50
61;81;100
422;542;85
2698;1221;15
2372;127;44
177;1390;88
3084;748;20
1213;910;59
3;1817;94
1782;995;42
3896;742;30
1829;812;43
1286;550;61
3017;108;39
2132;1432;30
2000;1110;35
3317;1966;18
1729;1498;42
2408;1747;24
3292;152;38
193;1210;88
782;1462;70
2503;352;37
1697;1924;46
3821;147;43
3370;791;20
3162;367;31
3938;516;36
2741;1583;13
2330;741;31
3918;1088;25
1794;1589;41
2929;485;28
3453;1998;20
896;705;70
399;850;83
2614;195;39
2800;653;25
2630;20;44
563;1513;77
1090;1652;62
2009;1163;35
3876;1165;23
3084;774;19
1526;1612;49
1612;328;56
1423;1322;51
3058;1276;5
3782;1865;24
347;252;90
3904;1444;23
2191;1579;29
3220;1454;3
468;319;86
3611;1968;22
3114;1629;7
3515;1892;19
3060;155;37
2995;264;34
202;233;94
981;848;66
1346;408;61
781;670;73
1009;1001;65
2927;1777;13
2982;949;15
555;1121;77
464;1302;80
3452;637;25
571;1982;78
2656;128;41
1623;1723;46
2067;694;38
1725;927;45
3600;459;31
1109;1196;61
366;339;88
778;1282;70
386;1616;82
3918;1217;24
3332;1049;12
2597;349;35
811;1295;69
241;1069;87
2658;360;34
394;1944;83
3786;1862;24
264;36;95
2050;1833;35
3538;125;40
1646;1817;46
2993;624;24
547;25;87
3373;1902;17
460;267;86
3060;781;19
1828;456;48
1021;962;64
2347;388;39
3535;1112;15
1529;581;54
1203;385;65
1787;1902;43
2740;1101;15
555;1753;78
47;363;97
3935;540;35
3062;329;32
387;199;89
2901;920;16
931;512;71
1766;692;46
401;980;82
149;1629;89
2214;1977;33
3805;1619;21
1179;969;60
1017;333;71
2834;1512;10
634;294;81
1819;814;43
1393;859;55
1768;1578;41
3023;871;17
3248;1906;16
1632;1742;46
2223;990;30
3868;697;30
1541;354;57
2374;1944;28
1962;389;46
3007;1524;6
3220;1945;17
2356;1568;24
1604;706;50
2028;1736;35
2581;121;42
2221;1578;28
2944;632;24
1082;1561;62
997;942;65
2334;523;36
1264;1090;57
1699;1294;43
235;1059;87
2592;248;38
3642;699;26
3599;514;30
1766;678;46
240;619;89
1272;246;65
3503;301;35
80;1533;91
1677;1238;44
3766;154;42
3946;459;37
1994;1852;37
278;165;93
3140;1401;0
