n;319
m;2
tmax;10522.5
63;71;0
94;71;56
142;370;97
173;1276;38
205;1213;79
213;69;20
244;69;61
276;630;2
283;732;43
362;69;84
394;69;25
449;370;66
480;1276;7
512;1213;48
528;157;89
583;630;30
591;732;71
638;654;12
638;496;53
638;314;94
638;142;35
669;142;76
677;315;17
677;496;58
677;654;99
709;654;40
709;496;81
709;315;22
701;142;63
764;220;4
811;189;45
843;173;86
858;370;27
890;1276;68
921;1213;9
992;630;50
1000;732;91
1197;1276;32
1228;1213;73
1276;205;14
1299;630;55
1307;732;96
1362;654;37
1362;496;78
1362;291;19
1425;654;60
1425;496;1
1425;291;42
1417;173;83
1488;291;24
1488;496;65
1488;654;6
1551;654;47
1551;496;88
1551;291;29
1614;291;70
1614;496;11
1614;654;52
1732;189;93
1811;1276;34
1843;1213;75
1913;630;16
1921;732;57
2087;370;98
2118;1276;39
2150;1213;80
2189;205;21
2220;189;62
2220;630;3
2228;732;44
2244;142;85
2276;315;26
2276;496;67
2276;654;8
2315;654;49
2315;496;90
2315;315;31
2331;142;72
2346;315;13
2346;496;54
2346;654;95
2362;142;36
2402;157;77
2402;220;18
2480;142;59
2496;370;100
2528;1276;41
2559;1213;82
2630;630;23
2638;732;64
2756;69;5
2787;69;46
2803;370;87
2835;1276;28
2866;1213;69
2906;69;10
2937;69;51
2937;630;92
2945;732;33
3016;1276;74
3055;69;15
3087;69;56
606;220;97
1165;370;38
1780;370;79
63;1402;20
94;1402;61
142;1701;2
173;2607;43
205;2544;84
213;1400;25
244;1400;66
276;1961;7
283;2063;48
362;1400;89
394;1400;30
449;1701;71
480;2607;12
512;2544;53
528;1488;94
583;1961;35
591;2063;76
638;1985;17
638;1827;58
638;1645;99
638;1473;40
669;1473;81
677;1646;22
677;1827;63
677;1985;4
709;1985;45
709;1827;86
709;1646;27
701;1473;68
764;1551;9
811;1520;50
843;1504;91
858;1701;32
890;2607;73
921;2544;14
992;1961;55
1000;2063;96
1197;2607;37
1228;2544;78
1276;1536;19
1299;1961;60
1307;2063;1
1362;1985;42
1362;1827;83
1362;1622;24
1425;1985;65
1425;1827;6
1425;1622;47
1417;1504;88
1488;1622;29
1488;1827;70
1488;1985;11
1551;1985;52
1551;1827;93
1551;1622;34
1614;1622;75
1614;1827;16
1614;1985;57
1732;1520;98
1811;2607;39
1843;2544;80
1913;1961;21
1921;2063;62
2087;1701;3
2118;2607;44
2150;2544;85
2189;1536;26
2220;1520;67
2220;1961;8
2228;2063;49
2244;1473;90
2276;1646;31
2276;1827;72
2276;1985;13
2315;1985;54
2315;1827;95
2315;1646;36
2331;1473;77
2346;1646;18
2346;1827;59
2346;1985;100
2362;1473;41
2402;1488;82
2402;1551;23
2480;1473;64
2496;1701;5
2528;2607;46
2559;2544;87
2630;1961;28
2638;2063;69
2756;1400;10
2787;1400;51
2803;1701;92
2835;2607;33
2866;2544;74
2906;1400;15
2937;1400;56
2937;1961;97
2945;2063;38
3016;2607;79
3055;1400;20
3087;1400;61
606;1551;2
1165;1701;43
1780;1701;84
63;2733;25
94;2733;66
142;3032;7
173;3938;48
205;3875;89
213;2731;30
244;2731;71
276;3292;12
283;3394;53
362;2731;94
394;2731;35
449;3032;76
480;3938;17
512;3875;58
528;2819;99
583;3292;40
591;3394;81
638;3316;22
638;3158;63
638;2976;4
638;2804;45
669;2804;86
677;2977;27
677;3158;68
677;3316;9
709;3316;50
709;3158;91
709;2977;32
701;2804;73
764;2882;14
811;2851;55
843;2835;96
858;3032;37
890;3938;78
921;3875;19
992;3292;60
1000;3394;1
1197;3938;42
1228;3875;83
1276;2867;24
1299;3292;65
1307;3394;6
1362;3316;47
1362;3158;88
1362;2953;29
1425;3316;70
1425;3158;11
1425;2953;52
1417;2835;93
1488;2953;34
1488;3158;75
1488;3316;16
1551;3316;57
1551;3158;98
1551;2953;39
1614;2953;80
1614;3158;21
1614;3316;62
1732;2851;3
1811;3938;44
1843;3875;85
1913;3292;26
1921;3394;67
2087;3032;8
2118;3938;49
2150;3875;90
2189;2867;31
2220;2851;72
2220;3292;13
2228;3394;54
2244;2804;95
2276;2977;36
2276;3158;77
2276;3316;18
2315;3316;59
2315;3158;100
2315;2977;41
2331;2804;82
2346;2977;23
2346;3158;64
2346;3316;5
2362;2804;46
2402;2819;87
2402;2882;28
2480;2804;69
2496;3032;10
2528;3938;51
2559;3875;92
2630;3292;33
2638;3394;74
2756;2731;15
2787;2731;56
2803;3032;97
2835;3938;38
2866;3875;79
2906;2731;20
2937;2731;61
2937;3292;2
2945;3394;43
3016;3938;84
3055;2731;25
3087;2731;66
606;2882;7
1165;3032;48
1780;3032;89
1417;-79;30
1496;-79;71
1693;4055;12
63;71;0
