n;137
m;2
tmax;24193
5300;1965;0
7275;1965;1
12450;1965;1
14425;1965;1
4118;2275;1
4743;2275;1
5935;2275;1
6560;2275;1
11268;2275;1
11893;2275;1
13085;2275;1
13710;2275;1
14425;2590;1
12450;2590;1
10250;2675;1
7275;2590;1
5300;2590;1
3100;2675;1
5300;2760;1
7275;2760;1
12450;2760;1
14425;2760;1
13710;3075;1
13085;3075;1
11893;3075;1
11268;3075;1
6560;3075;1
5935;3075;1
4743;3075;1
4118;3075;1
5300;3385;1
7275;3385;1
12450;3385;1
14425;3385;1
14425;4515;1
12450;4515;1
7275;4515;1
5300;4515;1
4118;4825;1
4743;4825;1
5935;4825;1
6560;4825;1
11268;4825;1
11893;4825;1
13085;4825;1
13710;4825;1
14425;5140;1
12450;5140;1
10250;5225;1
7275;5140;1
5300;5140;1
3100;5225;1
5300;5310;1
7275;5310;1
12450;5310;1
14425;5310;1
13710;5625;1
13085;5625;1
11893;5625;1
11268;5625;1
6560;5625;1
5935;5625;1
4743;5625;1
4118;5625;1
5300;5935;1
7275;5935;1
12450;5935;1
14425;5935;1
14425;7065;1
12450;7065;1
7275;7065;1
5300;7065;1
4118;7375;1
4743;7375;1
5935;7375;1
6560;7375;1
11268;7375;1
11893;7375;1
13085;7375;1
13710;7375;1
14425;7690;1
12450;7690;1
7275;7690;1
5300;7690;1
3100;7775;1
5300;7860;1
7275;7860;1
10250;7775;1
12450;7860;1
14425;7860;1
13710;8175;1
13085;8175;1
11893;8175;1
11268;8175;1
6560;8175;1
5935;8175;1
4743;8175;1
4118;8175;1
5300;8485;1
7275;8485;1
12450;8485;1
14425;8485;1
14425;9615;1
12450;9615;1
7275;9615;1
5300;9615;1
4118;9925;1
4743;9925;1
5935;9925;1
6560;9925;1
11268;9925;1
11893;9925;1
13085;9925;1
13710;9925;1
14425;10240;1
12450;10240;1
7275;10240;1
5300;10240;1
3100;10325;1
5300;10410;1
7275;10410;1
10250;10325;1
12450;10410;1
14425;10410;1
13710;10725;1
13085;10725;1
11893;10725;1
11268;10725;1
6560;10725;1
5935;10725;1
4743;10725;1
4118;10725;1
14425;11035;1
12450;11035;1
7275;11035;1
5300;11035;1
5300;1965;0
