n;265
m;3
tmax;8189.33
3425;6450;0
3625;3200;40
3525;3200;40
3525;3350;38
3625;3350;38
3725;3350;38
3725;3650;35
3625;3650;35
3525;3650;34
3525;3850;32
3625;3850;32
3725;3850;32
3725;4150;29
3625;4150;29
3525;4150;28
3525;4350;26
3625;4350;26
3725;4350;26
3725;4650;23
3625;4650;22
3525;4650;22
3525;4850;20
3625;4850;20
3725;4850;20
3725;5150;17
3625;5150;16
3525;5150;16
3525;5350;14
3625;5350;14
3725;5350;14
3725;5650;11
3625;5650;11
3525;5650;10
3525;5850;8
3625;5850;8
3725;5850;9
3725;6150;6
3625;6150;5
3525;6150;4
3525;6450;2
3525;6650;3
3675;7150;10
3675;7500;14
3675;7700;16
3675;7850;18
3675;8050;20
3525;8300;23
3625;8300;23
3725;8300;23
3725;8600;27
3625;8600;27
3525;8600;27
3825;8750;29
3925;8750;29
3925;8600;27
3825;8600;27
3825;8300;23
3925;8300;24
3925;7600;16
3925;6150;8
3825;6150;7
3825;5850;9
3925;5850;10
3925;5650;12
3825;5650;11
3825;5350;15
3925;5350;15
3925;5150;17
3825;5150;17
3825;4850;21
3925;4850;21
3925;4650;23
3825;4650;23
3825;4350;26
3925;4350;27
3925;4150;29
3825;4150;29
3825;3850;32
3925;3850;33
3925;3650;35
3825;3650;35
3825;3350;38
3925;3350;39
3875;3200;40
4075;3200;41
4025;3350;39
4125;3350;39
4225;3350;39
4225;3650;36
4125;3650;36
4025;3650;35
4025;3850;33
4125;3850;33
4225;3850;34
4225;4150;30
4125;4150;30
4025;4150;29
4025;4350;27
4125;4350;27
4225;4350;28
4225;4650;24
4125;4650;24
4025;4650;24
4025;4850;21
4125;4850;22
4225;4850;22
4225;5150;19
4125;5150;18
4025;5150;18
4025;5350;16
4125;5350;16
4225;5350;17
4225;5650;14
4125;5650;13
4025;5650;13
4025;5850;11
4125;5850;12
4225;5850;13
4225;6150;11
4125;6150;10
4025;6150;9
4025;8300;24
4125;8300;24
4225;8300;25
4225;8600;28
4125;8600;28
4025;8600;28
4275;8850;31
4875;6100;19
4975;4050;35
4975;3900;37
4975;3750;38
9675;3200;86
9675;3350;85
9675;3650;84
9675;3850;83
9675;4150;81
9675;4350;80
9675;4650;79
9675;4850;79
9675;5150;78
9675;5350;77
9675;5650;77
9675;5850;77
9675;6150;76
9575;6450;75
9675;6450;76
9675;6650;76
9675;8300;80
9675;8600;81
9975;8750;85
9975;8600;84
9875;8600;83
9775;8600;82
9775;8300;81
9875;8300;82
9975;8300;83
9825;8050;81
9825;7850;80
9825;7700;80
9825;7500;79
9825;7150;79
9975;6150;80
9875;6150;79
9775;6150;78
9775;5850;78
9875;5850;79
9975;5850;80
9975;5650;81
9875;5650;79
9775;5650;78
9775;5350;79
9875;5350;80
9975;5350;81
9775;5150;79
9875;5150;80
9975;5150;82
9975;4850;82
9875;4850;81
9775;4850;80
9775;4650;81
9875;4650;82
9975;4650;83
9975;4350;84
9875;4350;83
9775;4350;82
9775;4150;82
9875;4150;84
9975;4150;85
9975;3850;86
9875;3850;85
9775;3850;84
9975;3650;87
9875;3650;86
9775;3650;85
9775;3350;86
9875;3350;87
9975;3350;88
9775;3200;87
10225;3200;92
10025;3200;90
10075;3350;90
10175;3350;91
10175;3650;89
10075;3650;88
10175;3850;88
10075;3850;87
10075;4150;86
10175;4150;87
10175;4350;86
10075;4350;85
10075;4650;84
10175;4650;85
10175;4850;85
10075;4850;83
10075;5150;83
10175;5150;84
10075;5350;82
10175;5350;83
10175;5650;83
10075;5650;82
10075;5850;82
10175;5850;83
10175;6150;82
10075;6150;81
10075;7600;82
10075;8300;84
10175;8300;85
10175;8600;86
10075;8600;85
10075;8750;86
10425;8850;90
10375;8600;89
10275;8600;88
10275;8300;87
10375;8300;88
10375;6150;85
10275;6150;84
10275;5850;84
10375;5850;85
10375;5650;85
10275;5650;84
10275;5350;85
10375;5350;86
10275;5150;85
10375;5150;86
10375;4850;87
10275;4850;86
10275;4650;86
10375;4650;88
10375;4350;89
10275;4350;87
10275;4150;88
10375;4150;89
10375;3850;91
10275;3850;89
10375;3650;91
10275;3650;90
10275;3350;92
10375;3350;93
11125;3750;100
11125;3900;99
11125;4050;98
11025;6100;93
3425;6450;0
