n;196
m;2
tmax;581
3;12;0
17;12;56
23;9;97
34;11;38
47;11;79
54;12;20
66;16;61
75;7;2
86;6;43
94;8;84
107;9;25
115;14;66
123;15;7
3;32;48
15;32;89
26;34;30
33;34;71
42;34;12
53;25;53
64;32;94
74;32;35
85;34;76
95;28;17
104;25;58
113;31;99
125;34;40
3;48;81
15;46;22
26;50;63
36;54;4
48;50;45
54;46;86
64;54;27
75;44;68
88;49;9
98;50;50
103;54;91
115;47;32
127;49;73
6;75;14
15;75;55
27;73;96
36;73;37
47;68;78
54;72;19
66;68;60
74;67;1
85;65;42
94;74;83
107;65;24
117;65;65
125;68;6
6;84;47
13;95;88
25;94;29
37;84;70
47;87;11
53;95;52
63;86;93
77;93;34
83;89;75
94;95;16
103;92;57
115;95;98
123;93;39
7;114;80
15;111;21
24;112;62
36;108;3
43;112;44
56;105;85
64;112;26
73;112;67
86;107;8
98;108;49
104;113;90
117;115;31
126;109;72
6;127;13
17;125;54
27;134;95
35;126;36
44;131;77
54;132;18
63;124;59
77;127;100
82;134;41
96;128;82
103;126;23
116;130;64
126;134;5
7;152;46
16;147;87
24;153;28
35;151;69
45;154;10
55;146;51
63;155;92
75;151;33
87;154;74
93;156;15
104;151;56
117;153;97
127;148;38
3;164;79
16;172;20
25;165;61
35;175;2
44;169;43
53;174;84
64;168;25
76;171;66
87;173;7
95;174;48
106;168;89
114;169;30
125;169;71
3;190;12
16;188;53
25;195;94
37;186;35
44;189;76
54;194;17
66;192;58
77;192;99
85;188;40
93;185;81
106;192;22
113;193;63
125;195;4
5;207;45
15;213;86
24;209;27
33;214;68
43;206;9
53;211;50
64;213;91
74;212;32
84;212;73
94;209;14
104;215;55
115;206;96
127;209;37
6;229;78
13;227;19
26;235;60
34;225;1
43;227;42
55;225;83
67;229;24
75;234;65
87;230;6
95;235;47
105;228;88
117;225;29
127;230;70
6;249;11
15;246;52
26;255;93
33;246;34
47;248;75
58;252;16
65;248;57
73;247;98
87;249;39
94;245;80
104;256;21
113;246;62
125;253;3
5;266;44
16;274;85
24;267;26
37;266;67
45;267;8
54;266;49
67;267;90
74;265;31
87;264;72
95;271;13
106;264;54
116;271;95
127;273;36
7;287;77
17;294;18
23;287;59
33;284;100
43;288;41
53;295;82
67;288;23
73;286;64
87;293;5
94;284;46
104;291;87
114;294;28
127;290;69
3;12;0
