n;196
m;3
tmax;387.333
3;12;0
17;12;5
23;9;7
34;11;11
47;11;15
54;12;17
66;16;21
75;7;24
86;6;28
94;8;30
107;9;34
115;14;37
123;15;40
3;32;7
15;32;8
26;34;11
33;34;13
42;34;15
53;25;17
64;32;21
74;32;24
85;34;28
95;28;31
104;25;34
113;31;37
125;34;41
3;48;12
15;46;12
26;50;15
36;54;18
48;50;20
54;46;20
64;54;25
75;44;26
88;49;31
98;50;34
103;54;36
115;47;39
127;49;43
6;75;21
15;75;21
27;73;22
36;73;23
47;68;24
54;72;26
66;68;28
74;67;30
85;65;32
94;74;36
107;65;38
117;65;41
125;68;44
6;84;24
13;95;28
25;94;28
37;84;26
47;87;29
53;95;32
63;86;31
77;93;36
83;89;37
94;95;41
103;92;42
115;95;46
123;93;48
7;114;34
15;111;33
24;112;34
36;108;34
43;112;36
56;105;35
64;112;39
73;112;40
86;107;42
98;108;44
104;113;47
117;115;50
126;109;51
6;127;38
17;125;38
27;134;41
35;126;39
44;131;41
54;132;43
63;124;42
77;127;45
82;134;48
96;128;49
103;126;50
116;130;54
126;134;57
7;152;46
16;147;45
24;153;47
35;151;47
45;154;49
55;146;47
63;155;51
75;151;51
87;154;54
93;156;56
104;151;56
117;153;59
127;148;60
3;164;50
16;172;53
25;165;51
35;175;55
44;169;53
53;174;56
64;168;55
76;171;57
87;173;60
95;174;61
106;168;61
114;169;63
125;169;65
3;190;58
16;188;58
25;195;60
37;186;58
44;189;60
54;194;62
66;192;63
77;192;64
85;188;64
93;185;64
106;192;68
113;193;69
125;195;72
5;207;64
15;213;66
24;209;65
33;214;67
43;206;65
53;211;67
64;213;69
74;212;70
84;212;71
94;209;71
104;215;74
115;206;73
127;209;76
6;229;71
13;227;70
26;235;73
34;225;71
43;227;72
55;225;72
67;229;74
75;234;76
87;230;76
95;235;79
105;228;78
117;225;79
127;230;82
6;249;78
15;246;77
26;255;80
33;246;77
47;248;79
58;252;81
65;248;80
73;247;80
87;249;82
94;245;82
104;256;86
113;246;85
125;253;88
5;266;83
16;274;86
24;267;84
37;266;84
45;267;85
54;266;85
67;267;86
74;265;86
87;264;87
95;271;90
106;264;89
116;271;92
127;273;94
7;287;90
17;294;92
23;287;90
33;284;89
43;288;91
53;295;94
67;288;93
73;286;92
87;293;96
94;284;94
104;291;97
114;294;99
127;290;100
3;12;0
