n;401
m;3
tmax;2547
435.841;587.522;0
602.539;801.704;56
861.563;954.019;97
444.217;553.301;38
796.042;796.519;79
88.9064;838.954;20
233.569;850.798;61
476.864;203.976;2
406.271;601.839;43
954.573;785.053;84
593.326;968.644;25
946.1;432.995;66
83.0742;601.487;7
861.254;754.12;48
247.619;698.637;89
963.227;965.824;30
125.872;536.987;71
563.237;20.7366;12
55.259;619.092;53
691.414;576.653;94
237.167;707.298;35
583.448;609.201;76
404.171;942.218;17
15.771;614.642;58
20.0806;62.8968;99
196.656;613.862;40
913.249;428.902;81
828.34;584.111;22
49.6047;40.6059;63
271.361;736.904;4
979.153;716.97;45
489.418;957.946;86
817.106;281.12;27
332.771;466.52;68
278.353;945.623;9
168.54;974.806;50
806.139;537.748;91
445.404;306.86;32
306.696;552.626;73
555.492;359.315;14
156.444;178.995;55
140.141;704.084;96
963.235;442.629;37
460.829;255.503;78
385.534;487.846;19
931.464;198.146;60
279.893;896.021;1
331.283;923.481;42
33.5356;889.86;83
511.528;60.4103;24
232.874;327.742;65
870.562;747.862;6
126.307;27.0835;47
25.7158;384.711;88
550.99;317.71;29
421.545;669.856;70
699.395;641.832;11
30.6059;881.315;52
486.626;987.924;93
547.886;870.165;34
764.19;227.841;75
489.34;885.471;16
908.764;483.318;57
195.225;821.483;98
171.854;111.942;39
599.164;587.5;80
132.524;507.626;21
327.208;868.8;62
267.929;788.352;3
792.919;136.517;44
156.993;187.479;85
186.101;903.489;26
745.996;818.744;67
672.67;141.516;8
795.061;496.701;49
298.827;796.84;90
91.6001;378.018;31
917.898;105.225;72
370.272;274.581;13
789.206;738.168;54
800.35;158.589;95
748.357;537.031;36
486.979;88.5907;77
148.737;95.1072;18
231.984;10.131;59
972.905;220.419;100
40.56;259.589;41
192.47;292.712;82
24.0393;509.808;23
316.686;311.822;64
494.944;163.27;5
525.118;681.256;46
835.669;882.708;87
775.205;181.054;28
109.477;27.3525;69
653.011;671.869;10
628.285;197.058;51
1.94865;712.335;92
730.64;446.995;33
580.371;933.465;74
377.453;863.505;15
258.125;251.372;56
659.297;693.415;97
700.979;439.308;38
801.207;327.664;79
755.117;581.702;20
168.354;774.785;61
607.71;673.196;2
569.788;359.946;43
505.772;795.094;84
692.786;475.055;25
615.258;416.034;66
433.068;854.106;7
226.997;149.199;48
326.41;615.676;89
756.359;997.073;30
175.187;551.629;71
207.262;753.08;12
127.313;986.134;53
245.176;595.849;94
368.488;322.474;35
618.453;808.454;76
284.623;905.817;17
347.487;932.543;58
942.046;733.577;99
923.029;410.17;40
153.759;230.999;81
476.331;253.181;22
232.085;588.069;63
439.629;819.344;4
959.404;382.332;45
659.332;989.174;86
475.22;422.92;27
734.709;76.166;68
844.594;856.238;9
10.2508;829.527;50
359.094;688.825;91
901.1;207.153;32
607.208;778.844;73
682.389;84.7105;14
840.931;757.357;55
449.959;883.516;96
725.65;402.263;37
882.698;149.994;78
429.87;229.253;19
980.879;821.977;60
578.122;545.104;1
541.69;818.375;42
509.211;164.053;83
875.589;251.226;24
101.219;820.45;65
485.894;5.4797;6
134;228.874;47
167.243;943.593;88
156.372;445.891;29
267.979;69.0196;70
476.475;711.843;11
456.946;809.262;52
217.245;20.1127;93
165.471;811.813;34
381.612;457.549;75
310.765;220.815;16
2.19756;25.8493;57
135.318;579.262;98
257.714;332.927;39
678.108;546.502;80
176.011;611.721;21
560.389;331.015;62
416.783;521.535;3
852.354;420.312;44
850.689;321.301;85
745.771;57.0821;26
